0	0.000000e+00	0.000000e+00	0.000000e+00
1	0.000000e+00	0.000000e+00	0.000000e+00
2	0.000000e+00	0.000000e+00	0.000000e+00
3	1.000000e-02	5.000000e-01	0.000000e+00
4	1.000000e-02	5.000000e-01	0.000000e+00
5	1.000000e-02	5.000000e-01	0.000000e+00
6	2.000000e-02	1.000000e+00	0.000000e+00
7	2.000000e-02	1.000000e+00	0.000000e+00
8	3.000000e-02	1.500000e+00	0.000000e+00
9	3.000000e-02	1.500000e+00	0.000000e+00
10	3.000000e-02	1.500000e+00	0.000000e+00
11	3.000000e-02	1.500000e+00	0.000000e+00
12	4.000000e-02	2.000000e+00	0.000000e+00
13	5.000000e-02	2.500000e+00	0.000000e+00
14	5.000000e-02	2.500000e+00	0.000000e+00
15	5.000000e-02	2.500000e+00	0.000000e+00
16	5.000000e-02	2.500000e+00	0.000000e+00
17	5.000000e-02	2.500000e+00	0.000000e+00
18	5.000000e-02	2.500000e+00	0.000000e+00
19	5.000000e-02	2.500000e+00	0.000000e+00
20	5.000000e-02	2.500000e+00	0.000000e+00
21	5.000000e-02	2.500000e+00	0.000000e+00
22	6.000000e-02	3.000000e+00	0.000000e+00
23	6.000000e-02	3.000000e+00	0.000000e+00
24	7.000000e-02	3.500000e+00	0.000000e+00
25	7.000000e-02	3.500000e+00	0.000000e+00
26	7.000000e-02	3.500000e+00	0.000000e+00
27	7.000000e-02	3.500000e+00	0.000000e+00
28	7.000000e-02	3.500000e+00	0.000000e+00
29	8.000000e-02	4.000000e+00	0.000000e+00
30	9.000000e-02	4.500000e+00	0.000000e+00
31	9.000000e-02	4.500000e+00	0.000000e+00
32	1.000000e-01	5.000000e+00	0.000000e+00
33	1.000000e-01	5.000000e+00	0.000000e+00
34	1.000000e-01	5.000000e+00	0.000000e+00
35	1.000000e-01	5.000000e+00	0.000000e+00
36	1.100000e-01	5.500000e+00	0.000000e+00
37	1.100000e-01	5.500000e+00	0.000000e+00
38	1.100000e-01	5.500000e+00	0.000000e+00
39	1.100000e-01	5.500000e+00	0.000000e+00
40	1.100000e-01	5.500000e+00	0.000000e+00
41	1.100000e-01	5.500000e+00	0.000000e+00
42	1.200000e-01	6.000000e+00	0.000000e+00
43	1.200000e-01	6.000000e+00	0.000000e+00
44	1.200000e-01	6.000000e+00	0.000000e+00
45	1.300000e-01	6.500000e+00	0.000000e+00
46	1.300000e-01	6.500000e+00	0.000000e+00
47	1.300000e-01	6.500000e+00	0.000000e+00
48	1.400000e-01	7.000000e+00	0.000000e+00
49	1.500000e-01	7.500000e+00	0.000000e+00
50	1.500000e-01	7.500000e+00	0.000000e+00
51	1.600000e-01	8.000000e+00	0.000000e+00
52	1.500000e-01	8.000000e+00	5.000000e-01
53	1.600000e-01	8.500000e+00	5.000000e-01
54	1.700000e-01	9.000000e+00	5.000000e-01
55	1.600000e-01	9.000000e+00	1.000000e+00
56	1.700000e-01	9.500000e+00	1.000000e+00
57	1.700000e-01	1.000000e+01	1.500000e+00
58	1.700000e-01	1.000000e+01	1.500000e+00
59	1.800000e-01	1.050000e+01	1.500000e+00
60	1.900000e-01	1.100000e+01	1.500000e+00
61	1.900000e-01	1.150000e+01	2.000000e+00
62	1.900000e-01	1.200000e+01	2.500000e+00
63	2.000000e-01	1.250000e+01	2.500000e+00
64	2.100000e-01	1.300000e+01	2.500000e+00
65	2.200000e-01	1.350000e+01	2.500000e+00
66	2.300000e-01	1.400000e+01	2.500000e+00
67	2.300000e-01	1.400000e+01	2.500000e+00
68	2.400000e-01	1.450000e+01	2.500000e+00
69	2.500000e-01	1.500000e+01	2.500000e+00
70	2.600000e-01	1.550000e+01	2.500000e+00
71	2.600000e-01	1.600000e+01	3.000000e+00
72	2.700000e-01	1.650000e+01	3.000000e+00
73	2.700000e-01	1.700000e+01	3.500000e+00
74	2.800000e-01	1.750000e+01	3.500000e+00
75	2.800000e-01	1.750000e+01	3.500000e+00
76	2.900000e-01	1.800000e+01	3.500000e+00
77	3.000000e-01	1.850000e+01	3.500000e+00
78	3.000000e-01	1.900000e+01	4.000000e+00
79	3.000000e-01	1.950000e+01	4.500000e+00
80	3.100000e-01	2.000000e+01	4.500000e+00
81	3.000000e-01	2.000000e+01	5.000000e+00
82	3.100000e-01	2.050000e+01	5.000000e+00
83	3.200000e-01	2.100000e+01	5.000000e+00
84	3.300000e-01	2.150000e+01	5.000000e+00
85	3.300000e-01	2.200000e+01	5.500000e+00
86	3.400000e-01	2.250000e+01	5.500000e+00
87	3.500000e-01	2.300000e+01	5.500000e+00
88	3.600000e-01	2.350000e+01	5.500000e+00
89	3.600000e-01	2.350000e+01	5.500000e+00
90	3.700000e-01	2.400000e+01	5.500000e+00
91	3.700000e-01	2.450000e+01	6.000000e+00
92	3.800000e-01	2.500000e+01	6.000000e+00
93	3.900000e-01	2.550000e+01	6.000000e+00
94	3.900000e-01	2.600000e+01	6.500000e+00
95	4.000000e-01	2.650000e+01	6.500000e+00
96	4.100000e-01	2.700000e+01	6.500000e+00
97	4.100000e-01	2.750000e+01	7.000000e+00
98	4.000000e-01	2.750000e+01	7.500000e+00
99	4.100000e-01	2.800000e+01	7.500000e+00
100	4.100000e-01	2.850000e+01	8.000000e+00
101	4.200000e-01	2.900000e+01	8.000000e+00
102	4.200000e-01	2.950000e+01	8.500000e+00
103	4.200000e-01	3.000000e+01	9.000000e+00
104	4.300000e-01	3.050000e+01	9.000000e+00
105	4.300000e-01	3.100000e+01	9.500000e+00
106	4.300000e-01	3.150000e+01	1.000000e+01
